"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Doz E.; Cuder A.; Pellizzoni S.; Granello F.; Passolunghi M.C.","Doz, Eleonora (57225918601); Cuder, Alessandro (57256567700); Pellizzoni, Sandra (25960946300); Granello, Federica (59202460700); Passolunghi, Maria Chiara (56047533700)","57225918601; 57256567700; 25960946300; 59202460700; 56047533700","The interplay between ego-resiliency, math anxiety and working memory in math achievement","2024","Psychological Research","88","8","","2401","2415","10","10.1007/s00426-024-01995-0","https://www.scopus.com/pages/publications/85197381908?origin=resultslist","Previous research has suggested that math anxiety may contribute to poor math performance by interfering with working memory. However, only a limited number of studies investigated the mediating role of working memory in the math anxiety-math performance link in school-aged children. Unlike math anxiety, ego-resiliency is a personality resource that promotes the management of challenges and has been positively associated with math performance and negatively with anxiety. Nevertheless, there is still limited understanding regarding the specific role of ego-resiliency in math learning and how it relates to math anxiety. This study aimed to investigate conjunctly the interplay between primary school children’s ego-resiliency, math anxiety, working memory, and performance on two different math tasks (i.e., arithmetic task and word problem-solving task), after controlling for general anxiety and age. The study involved 185 Italian children from grades 3 to 5. Serial multi-mediational analyses revealed that: (1) ego-resiliency has a positive indirect effect on math achievement through two paths - math anxiety, and math anxiety and working memory; (2) the study replicated previous findings showing that working memory partially mediated the relationship between math anxiety and math performance; (3) similar patterns of results were found for both math skills. The study identifies ego-resiliency as a possible protective factor in the development of math anxiety and suggests that ego-resiliency could be worth considering when designing interventions aimed at reducing negative emotions towards mathematics. © The Author(s) 2024.","Ego-resiliency; Math anxiety; Math performance; Primary school; Word problems; Working memory","Academic Success; Anxiety; Child; Ego; Female; Humans; Male; Mathematics; Memory, Short-Term; Problem Solving; Resilience, Psychological; academic success; anxiety; child; ego; female; human; male; mathematics; physiology; problem solving; psychological resilience; psychology; short term memory","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85197381908"
"Zuo S.; Huang Q.; Qi C.","Zuo, Siyu (58032278800); Huang, Qi (57575444900); Qi, Chunxia (55389307100)","58032278800; 57575444900; 55389307100","The relationship between cognitive activation and mathematics achievement: mediating roles of self-efficacy and mathematics anxiety","2024","Current Psychology","43","39","","30794","30805","14","10.1007/s12144-024-06700-3","https://www.scopus.com/pages/publications/85209827769?origin=resultslist","This study explores the connection of cognitive activation, self-efficacy, and mathematics anxiety in shaping eighth-grade students’ mathematics achievement. Analysing data from a comprehensive survey involving 17,112 students across 91 schools in China, our study uncovers insights: (1) Cognitive activation significantly and directly influences mathematics achievement; (2) The positive impact of cognitive activation on mathematics achievement is primarily mediated by self-efficacy; (3) Mathematics anxiety partially mediates the link between cognitive activation and mathematics achievement; and (4) Sequentially, self-efficacy and mathematics anxiety act as mediators in the relationship between cognitive activation and mathematics achievement. The implications for mathematics educators are discussed, and avenues for future research are suggested. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Cognitive activation; Mathematics achievement; Mathematics anxiety; Self-efficacy","","Article","Final","","Scopus","2-s2.0-85209827769"
"Pellizzoni S.; Cargnelutti E.; Cuder A.; Passolunghi M.C.","Pellizzoni, Sandra (25960946300); Cargnelutti, Elisa (56338669300); Cuder, Alessandro (57256567700); Passolunghi, Maria Chiara (56047533700)","25960946300; 56338669300; 57256567700; 56047533700","The interplay between math anxiety and working memory on math performance: a longitudinal study","2022","Annals of the New York Academy of Sciences","1510","1","","132","144","34","10.1111/nyas.14722","https://www.scopus.com/pages/publications/85128102956?origin=resultslist","Mathematical skills are essential to mastering everyday activities, making professional choices, and exercising citizenship in a numerate society. There is extensive evidence of the relationship between math anxiety (MA) and working memory (WM) influencing math attainment. Studies have mainly considered adult samples, however, leaving primary school children almost unexplored. This study is a first attempt to examine how the complex interplay between MA and WM affects math achievement from a developmental perspective. A total of 148 third graders were assessed with WM, general anxiety (GA), MA, and math tasks. Anxiety and WM were assessed at the beginning of the school year when children started attending grade 3, while math achievement was tested twice at the start of grades 3 and 4. The findings seem to confirm that GA has both a direct and an indirect effect (mediated by WM) on math performance in third and fourth graders. MA has a direct effect on math performance in grade 4, but only an indirect effect in grade 3, suggesting MA has a developmental trajectory, becoming stronger over time. The implications in the educational setting are discussed, pointing to the importance of a combined intervention on MA and WM. © 2021 The Authors. Annals of the New York Academy of Sciences published by Wiley Periodicals LLC on behalf of New York Academy of Sciences.","cognitive factors; developmental trajectories; math anxiety; math learning; working memory","Adult; Anxiety; Anxiety Disorders; Child; Humans; Longitudinal Studies; Mathematics; Memory, Short-Term; achievement; anxiety; article; female; human; learning; longitudinal study; male; working memory; adult; anxiety; anxiety disorder; child; longitudinal study; mathematics; short term memory","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85128102956"
"Tang J.; Su Y.; Yao Y.; Peyre H.; Guez A.; Zhao J.","Tang, Jiuqing (57222321725); Su, Yun (57222315291); Yao, Yu'e (57222327176); Peyre, Hugo (35782457900); Guez, Ava (57202287594); Zhao, Jingjing (57221069953)","57222321725; 57222315291; 57222327176; 35782457900; 57202287594; 57221069953","Respiratory Sinus Arrhythmia Mediates the Relation Between “Specific Math Anxiety” and Arithmetic Speed","2021","Frontiers in Psychology","12","","615601","","","5","10.3389/fpsyg.2021.615601","https://www.scopus.com/pages/publications/85102257278?origin=resultslist","There is a growing consensus that math anxiety highly correlates with trait anxiety and that the emotional component elicited by math anxiety affects math performance. Yet few studies have examined the impact of “specific math anxiety” (high math anxiety and low other kinds of anxiety) on math performance and the underlying physiological and affective mechanism. The present study examines the mediation effect of heart rate variability—an affective measurement indexed by respiratory sinus arrhythmia (RSA)—in the relationship between specific math anxiety and arithmetic speed. A total of 386 junior high school students completed a self-reported questionnaire to measure their anxiety level. Among this sample, 29 individuals with specific math anxiety (high math anxiety and low reading and trait anxiety), 29 with specific reading anxiety (high reading anxiety and low math and trait anxiety), 24 with specific trait anxiety (high trait anxiety and low math and reading anxiety), and 22 controls (low math, trait and reading anxiety) were selected to participate in an arithmetic task and a reading task while RSA was recorded when they performed the tasks. Results revealed that individuals with specific math anxiety showed lower RSA and longer reaction time than the other three groups in the arithmetic task. Regression and mediation analyses further revealed that RSA mediated the relation between specific math anxiety and arithmetic speed. The present study provides the first account of evidence for the affective hypothesis of specific math anxiety and suggests that affective responses may be an important mechanism underlying the detrimental effect of specific math anxiety on math performance. © Copyright © 2021 Tang, Su, Yao, Peyre, Guez and Zhao.","affective; arithmetic; math anxiety; physiology; RSA","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85102257278"
"Lei Q.; Liu D.; Chen X.; Hirni M.; Wang J.; Abdelnaby H.; Wei S.","Lei, Qingli (57203300369); Liu, Di (57195033118); Chen, Xiuhan (59910174000); Hirni, Megan (59910330800); Wang, Jing (57573377100); Abdelnaby, Heba (58507496300); Wei, Shuang (55822418000)","57203300369; 57195033118; 59910174000; 59910330800; 57573377100; 58507496300; 55822418000","Mathematics anxiety, trait emotional intelligence, and self-concept: Pathways to mathematics performance in students with and without mathematics learning difficulties","2025","Journal of Research in Special Educational Needs ","25","4","","945","957","3","10.1111/1471-3802.70020","https://www.scopus.com/pages/publications/105005869349?origin=resultslist","This study examined how mathematics anxiety, trait emotional intelligence, and mathematics self-concept predict calculation fluency, numerical operations, and mathematical reasoning in students with and without mathematics learning difficulties (MLD). Participants (N = 326) were third- to fifth-grade students from China who completed standardized mathematics performance assessments and self-report measures of mathematics anxiety and trait emotional intelligence. Structural equation modelling showed that mathematics anxiety negatively influenced all mathematics outcomes, whereas trait emotional intelligence had a positive impact. Mathematics self-concept mediated the effects of mathematics anxiety in the full sample, with partial mediation for calculation fluency and full mediation for mathematical reasoning and numerical operations. No mediation effects were found for students with MLD. These results emphasize the need to address affective and non-cognitive factors in interventions and highlight the critical roles of self-concept and trait emotional intelligence in improving mathematics performance across diverse student populations. © 2025 The Author(s). Journal of Research in Special Educational Needs published by John Wiley & Sons Ltd on behalf of National Association for Special Educational Needs.","mathematics anxiety; mathematics learning difficulties; mathematics self-concept; trait emotional intelligence","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105005869349"
"Xiao F.; Sun L.","Xiao, Feiya (56346967000); Sun, Li (55493064800)","56346967000; 55493064800","Students’ Motivation and Affection Profiles and Their Relation to Mathematics Achievement, Persistence, and Behaviors","2021","Frontiers in Psychology","11","","533593","","","32","10.3389/fpsyg.2020.533593","https://www.scopus.com/pages/publications/85100260385?origin=resultslist","Objective: We aimed to explore profiles of subgroups of United States students based on their motivational and affective characteristics and investigate the differences in math-related behaviors, persistence, and math achievement across profiles. Method: We used 1,464 United States students (male 743 51%, female 721 49%, age 15.82 ± 0.28) from PISA 2012 United States data in our study. First, we employed latent profile analysis and secondary clustering to identify subgroups of students based on motivational (math self-concept, interest in math, perceived control, and instrumental motivation) and affective factors (math anxiety). Next, we used regression to compare differences in math behavior, persistence, and achievement among all identified subgroups. Results: We found five distinct groups of students with different patterns of motivation and affection. The subgroup of students with the lowest math anxiety and the highest motivation levels showed the highest math achievement and levels of persistence. The groups with high math interest, math self-concept, and instrumental motivation showed the most frequent math-related behaviors. Conclusions: Our findings reveal the complexity of the students’ motivational and affective profiles. Our findings are significant for teachers and educators to understand the diversity of students and provide theoretical and practical support for individualized and differentiated instruction. © Copyright © 2021 Xiao and Sun.","LPA; math achievement; math anxiety; math interest; math self-concept; perceived control in math; persistence","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85100260385"
"Capinding A.T.","Capinding, Andie Tangonan (57224929987)","57224929987","Impact of Modular Distance Learning on High School Students Mathematics Motivation, Interest/Attitude, Anxiety and Achievement during the COVID-19 Pandemic","2022","European Journal of Educational Research","11","2","","917","934","13","10.12973/eu-jer.11.2.917","https://www.scopus.com/pages/publications/85127055303?origin=resultslist","This study examined the impact of modular distance learning on students' motivation, interest/attitude, anxiety and achievement in mathematics. This was done at the Gabaldon, Nueva Ecija, Philippines during the first and second grading of the academic year 2021-2022. The study included both a descriptive-comparative and descriptive-correlational research design. The 207 high school students were chosen using stratified sampling. According to the findings, students have a very satisfactory rating in mathematics. Students agree that they are motivated, enthusiastic, and have a positive attitude toward mathematics. They do, however, agree that mathematics causes them anxiety. When students are subdivided based on sex, their mathematics interest and anxiety differ significantly. However, there was no significant difference in interest/attitude and achievement. When students are divided into age groups, their mathematics motivation, interest/attitude, anxiety, and achievement differ significantly. Students' motivation, anxiety, and achievement differ significantly by year level. There was a positive relationship between and among mathematics motivation, interest/attitude, and achievement. However, there is a negative association between mathematics anxiety and mathematics motivation; mathematics anxiety and mathematical interest/attitude; and mathematics anxiety and mathematical performance. The study's theoretical and practical implications were also discussed, and recommendations for educators and researchers were given. © 2022 The Author(s).","Mathematics achievement; mathematics anxiety; mathematics interest/attitude; mathematics motivation; modular learning","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85127055303"
"Schmitz E.A.; Jansen B.R.J.; Wiers R.W.; Salemink E.","Schmitz, Eva A. (57189691359); Jansen, Brenda R. J. (7202560620); Wiers, Reinout W. (6701516741); Salemink, Elske (55916884900)","57189691359; 7202560620; 6701516741; 55916884900","Math-Failure Associations, Attentional Biases, and Avoidance Bias: The Relationship with Math Anxiety and Behaviour in Adolescents","2023","Cognitive Therapy and Research","47","5","","788","801","10","10.1007/s10608-023-10390-9","https://www.scopus.com/pages/publications/85162194872?origin=resultslist","Background: Math anxiety in adolescence negatively affects learning math and careers. The current study investigated whether three cognitive biases, i.e. math-failure associations, attentional biases (engagement and disengagement), and avoidance bias for math, were related to math anxiety and math behaviour (math grade and math avoidance behaviour). Methods: In total, 500 secondary school students performed three cognitive bias tasks, questionnaires and a math performance task, and reported their grades. Results: Math-failure associations showed the most consistent associations with the outcome measures. They were associated with higher math anxiety above and beyond sex and education level. Those math-failure associations were also associated with lower grades and more avoidance behaviour, however, not above and beyond math anxiety. Engagement bias and avoidance tendency bias were associated with math avoidance behaviour, though the avoidance bias finding should be interpreted with care given the low reliability of the measure. Disengagement biases were not associated with any math anxiety nor behaviour outcome measure. Conclusions: Whereas a more reliable instrument for avoidance bias is necessary for conclusions on the relations with math performance and behaviour, the current results do suggest that math-failure associations, and not attentional bias, may play a role in the maintenance of math anxiety. © 2023, The Author(s).","Attentional bias; Avoidance bias; Implicit associations; Math anxiety; Math behaviour","adolescent; anxiety; article; attentional bias; avoidance behavior; education; educational status; female; high school; human; major clinical study; male; math anxiety; outcome assessment; questionnaire; reliability","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85162194872"
"Guo S.; Liao S.","Guo, Siwen (57200273223); Liao, Shanhui (57224503264)","57200273223; 57224503264","The Role of Opportunity to Learn on Student Mathematics Anxiety, Problem-Solving Performance, and Mathematics Performance","2022","Frontiers in Psychology","13","","829032","","","11","10.3389/fpsyg.2022.829032","https://www.scopus.com/pages/publications/85125868082?origin=resultslist","This study examined the effects of opportunity to learn (OTL) or the content coverage in mathematics on student mathematics anxiety, problem-solving performance, and mathematics performance. The pathways examining the influences of OTL on student problem-solving performance and mathematics performance via mathematics anxiety were also tested. A sample of 1,676 students from Shanghai-China, and a sample of 1,511 students from the United States who participated in the Programme for International Student Assessment (PISA) 2012 were used for the analyses. The results from multilevel models and path models supported our hypotheses that OTL not only showed significant direct effects on student mathematics anxiety, problem-solving performance, and mathematics performance, but also presented indirect effects on student problem-solving performance and mathematics performance via mathematics anxiety in both Shanghai-China and United States, controlling for student gender, grade, and socioeconomic status. The practical implications of the current results were also discussed. Copyright © 2022 Guo and Liao.","content coverage; mathematics anxiety; mathematics performance; opportunity to learn (OTL); problem-solving","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85125868082"
"Orbach L.; Fritz A.","Orbach, Lars (57214148956); Fritz, Annemarie (17345912800)","57214148956; 17345912800","A latent profile analysis of math anxiety and core beliefs toward mathematics among children","2022","Annals of the New York Academy of Sciences","1509","1","","130","144","19","10.1111/nyas.14720","https://www.scopus.com/pages/publications/85126266872?origin=resultslist","Recent findings on the negative impacts of math anxiety (MA) have raised questions for educational and clinical research regarding effective intervention programs. One basic approach for developing intervention programs in the field of cognitive behavioral therapy is to gain an in-depth understanding of the cognitive beliefs of children with a specific mental problem. By applying latent profile analysis (LPA), the present study aimed at identifying different patterns of MA and providing further insights into its cognitive phenomenology. For this purpose, trait-MA, state-MA, attitudes toward math, academic self-concepts, fixed/growth mindsets, executive functions, and math performance of 475 fourth and fifth graders (48.2% girls) were assessed. LPA indicated seven distinct profiles characterized by different dimensions and patterns of state-MA, trait-MA, and core beliefs toward math. Furthermore, the profiles showed clearly different math performances. The weakest performances were found for a profile with highest state-MA, high trait-MA, and negative cognitive beliefs toward math and a profile with average state-MA, high trait-MA, and negative cognitive beliefs toward math, whereas the highest achieving profile had no state-MA, high trait-MA, and very positive cognitive beliefs toward math. The findings underline the complexity of MA and emphasize the necessity to develop interventions with careful consideration of the heterogeneous patterns. © 2021 New York Academy of Sciences.","academic self-concepts; core beliefs; latent profile analysis; math anxiety; primary school children","Anxiety; Anxiety Disorders; Child; Educational Status; Executive Function; Female; Humans; Male; Mathematics; anxiety; article; child; executive function; female; human; mathematics; phenomenology; primary school; anxiety disorder; educational status; male; mathematics","Article","Final","","Scopus","2-s2.0-85126266872"
"Esposito L.; Tonizzi I.; Usai M.C.; Giofrè D.","Esposito, Lorenzo (58625909300); Tonizzi, Irene (57212875837); Usai, Maria Carmen (26634592900); Giofrè, David (57214590134)","58625909300; 57212875837; 26634592900; 57214590134","Understanding the Role of Cognitive Abilities and Math Anxiety in Adolescent Math Achievement","2025","Journal of Intelligence","13","4","44","","","3","10.3390/jintelligence13040044","https://www.scopus.com/pages/publications/105003624534?origin=resultslist","A consistent amount of research has tried to study the contributions of cognitive and emotional factors involved in math achievement. Despite this, research examining their joint role in children is scarce. In this paper, we examined the joint role of cognitive and math anxiety on math achievement in a sample of 135 seventh-grade children (54% male, Mage = 12.79, SD = 0.47). Math achievement was measured using a validated paper-and-pencil test, while higher-order cognitive abilities were assessed with a PMAs test. Working memory was evaluated through two verbal and two visuo-spatial experimental span tasks. Inhibitory control was measured using three computerized tasks adapted from the classic Stroop, Flanker, and Simon tasks. Math anxiety was assessed with an AMAS questionnaire. A series of correlation analyses and path models were conducted to understand the complex relationships among the factors. The correlations showed a positive relationship among our cognitive abilities and a negative correlation with math anxiety. The results from the path analysis showed a strong effect of higher-order cognitive abilities on math achievement (β = 0.44, p <.001) and highlighted the mediating role of working memory between math anxiety and math performance (β = −0.04, 95%CI [−0.11; −0.00]). Conversely, inhibitory control did not seem to play a crucial role in this relationship (β = −0.03, 95%CI [−0.08; 0.00]). These findings are discussed in relation to current theoretical frameworks. Interventions aimed at reducing math anxiety could help improve math achievement. © 2025 by the authors.","children; executive functions; higher-order cognitive abilities; inhibitory control; math; math anxiety; working memory","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105003624534"
"Megreya A.M.; Al-Emadi A.A.; Moustafa A.A.","Megreya, Ahmed M. (14832819200); Al-Emadi, Ahmed A. (36092442300); Moustafa, Ahmed A. (56875918400)","14832819200; 36092442300; 56875918400","The Arabic version of the modified-abbreviated math anxiety scale: Psychometric properties, gender differences, and associations with different forms of anxiety and math achievement","2023","Frontiers in Psychology","13","","919764","","","7","10.3389/fpsyg.2022.919764","https://www.scopus.com/pages/publications/85146529258?origin=resultslist","Background: This study examined the psychometric properties (factor structure, measurement invariance, convergent and criterion validity, inter-correlations, and reliabilities) of an Arabic version of the modified-Abbreviated Math Anxiety Scale (m-AMAS) and gender differences in math anxiety in an Arabic speaking Middle Eastern country, Qatar. Methods: A large sample of students in grade 7 to 10 (N = 731) completed the m-AMAS, three different scales to measure science anxiety, test anxiety, and general anxiety, as well as a scholastic math achievement test. Results: The two-factor structure of the m-AMAS was confirmed, with good to adequate reliabilities, and its compositional measurement invariance was established across girls and boys in the four grades. In addition, math anxiety correlated positively with science anxiety, test anxiety, and general anxiety. Regression analyses showed that math anxiety was negatively associated with math achievement, even when test anxiety, science anxiety, and general anxiety were considered. Furthermore, girls showed higher math anxiety than boys. Conclusion: These adequate psychometric properties of the Arabic m-AMAS suggest that the construct of math anxiety has a cross-cultural similarity. Copyright © 2023 Megreya, Al-Emadi and Moustafa.","general anxiety; math achievement; math anxiety; psychometric properties; science anxiety; test anxiety","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85146529258"
"Ng C.-T.; Chen Y.-H.; Wu C.-J.; Chang T.-T.","Ng, Chan-Tat (57112964200); Chen, Yin-Hua (55585699400); Wu, Chao-Jung (56132666600); Chang, Ting-Ting (35483262700)","57112964200; 55585699400; 56132666600; 35483262700","Evaluation of math anxiety and its remediation through a digital training program in mathematics for first and second graders","2022","Brain and Behavior","12","5","e2557","","","20","10.1002/brb3.2557","https://www.scopus.com/pages/publications/85127274120?origin=resultslist","Introduction: Math anxiety severely impacts individuals’ learning and future success. However, limited is understood about the profile in East Asian cultures where students genuinely show high-level math anxiety, despite that they outperform their Western counterparts. Here, we investigate the relation between math anxiety and math achievement in children as young as first and second graders in Taiwan. Further, we evaluate whether intensive exposure to digital game-based learning in mathematics could ameliorate math anxiety. Methods: The study first evaluated a group of 159 first and second graders’ math anxiety and its correlation with math performance. Subsequently, a quasi-experimental design was adopted: 77 of the children continued and participated in multi-component digital game training targeting enumeration, speeded calculation, and working memory. Post-assessment was administered afterward for further evaluation of training-associated effects. Results: Results confirmed that math anxiety was negatively associated with school math achievement, which assessed numerical knowledge and arithmetic calculation. Furthermore, children's math anxiety was remarkably reduced via digital training in mathematics after 6-week intensive remediation. Crucially, this math anxiety relief was more prominent in those with high-level math anxiety. Although the children who underwent the training showed training-induced math achievement and working memory enhancement, this cognitive improvement appeared to be independent of the math anxiety relief. Conclusion: Our findings demonstrate that students can show highly negative emotions and perceptions toward learning even in high-achieving countries. Auspiciously, the feeling of distress toward learning has the feasibility to be relieved from short-term intensive training. Our study suggests a new approach of early treatments to emotional disturbance that can lead to permanent consequences in individuals. © 2022 The Authors. Brain and Behavior published by Wiley Periodicals LLC.","cognitive training; computerization technology; exposure therapy; game-based learning; math anxiety; mathematical learning","Achievement; Anxiety; Anxiety Disorders; Child; Humans; Mathematics; Students; achievement; ankle brachial index; anxiety; arithmetic; Article; calculation; child; controlled study; distress syndrome; dorsolateral prefrontal cortex; experimental design; feasibility study; female; follow up; functional connectivity; functional magnetic resonance imaging; human; male; memory; motivation; perception; phonetics; preschool child; training; working memory; anxiety disorder; mathematics; psychology; student; therapy","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85127274120"
"Gashaj V.; Thaqi Q.; Mast F.W.; Roebers C.M.","Gashaj, Venera (56310709800); Thaqi, Qendresa (57453453300); Mast, Fred W. (7006023670); Roebers, Claudia M. (7004215342)","56310709800; 57453453300; 7006023670; 7004215342","Foundations for future math achievement: Early numeracy, home learning environment, and the absence of math anxiety","2023","Trends in Neuroscience and Education","33","","100217","","","22","10.1016/j.tine.2023.100217","https://www.scopus.com/pages/publications/85175208836?origin=resultslist","Background: Mathematics achievement is pivotal in shaping children's future prospects. Cognitive skills (numeracy), feelings (anxiety), and the social environment (home learning environment) influence early math development. Method: A longitudinal study involved 85 children (mean age T1 = 6.4 years; T2 = 7.9) to explore these predictors holistically. Data were collected on early numeracy skills, home learning environment, math anxiety, and their impact on various aspects of math. Results: The study found that early numeracy skills, home learning environment, and math anxiety significantly influenced math school achievement. However, they affected written computation, sequences, and comparisons differently. Early numeracy skills strongly predicted overall achievement and comparison subtest performance. Conclusion: These findings underscore the substantial role of math anxiety and home learning environment in children's math achievement. The study emphasizes the need to consider the selective impacts of these factors in future research, shedding light on the multifaceted nature of mathematics achievement determinants. © 2023 The Author(s)","Home learning environment; Math achievement; Math anxiety; Numerical skills","Anxiety; Child; Humans; Learning; Longitudinal Studies; Mathematics; Schools; academic achievement; article; child; female; human; learning environment; longitudinal study; major clinical study; male; math anxiety; numeracy; anxiety; learning; mathematics; psychology; school","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85175208836"
"Radiusman R.; Juniati D.; Khabibah S.","Radiusman, Riyadh (57222339792); Juniati, Dwi (57193704830); Khabibah, Siti (57208266754)","57222339792; 57193704830; 57208266754","THE EFFECT OF MATHEMATICAL ANXIETY ON THE PERFORMANCE OF FIFTH-GRADE ELEMENTARY SCHOOL STUDENTS IN PERFORMING FRACTION OPERATIONS","2025","Mathematics for Applications","14","2","","15","27","0","10.13164/ma.2025.14202","https://www.scopus.com/pages/publications/105024599610?origin=resultslist","Although it is known that adults have anxiety about mathematics, it turns out that elementary school students also have anxiety about mathematics. This research is a descriptive-qualitative research that aims to describes the influence of mathematics anxiety on the performance of fifth grade elementary school students, especially mathematics performance in using strategies in solving fraction problems. The subjects of this study were two fifth-grade elementary school students with different levels of mathematical anxiety and had relatively the same mathematical abilities. Data collection was conducted through semi-structured interviews based on the results of students' work in solving fractional operation problems. The study results showed that students with low mathematics anxiety (LMA) used numerical operation strategies to solve fraction problems, namely by manipulating number expressions into equivalent fractions in fraction comparison problems and still using numerical operation strategies to help determine the area of land division in word problems. Meanwhile, LMA subjects used a strategy that did not change, namely using spatial reasoning due to limited ability in using numerical operations to determine the comparison of fractions and divide the area of land in word problems. This shows that math anxiety affects students' strategies for solving fraction problems. © 2025 Brno University of Technology. All rights reserved.","elementary school students; fractions; mathematics anxiety; mathematics performance; strategies","","Article","Final","","Scopus","2-s2.0-105024599610"
"Demedts F.; Reynvoet B.; Sasanguie D.; Depaepe F.","Demedts, Febe (57981712300); Reynvoet, Bert (6603141043); Sasanguie, Delphine (36617973700); Depaepe, Fien (6503947564)","57981712300; 6603141043; 36617973700; 6503947564","Unraveling the role of math anxiety in students’ math performance","2022","Frontiers in Psychology","13","","979113","","","19","10.3389/fpsyg.2022.979113","https://www.scopus.com/pages/publications/85142660404?origin=resultslist","Math anxiety (MA; i.e., feelings of anxiety experienced when being confronted with mathematics) can have negative implications on the mental health and well-being of individuals and is moderately negatively correlated with math achievement. Nevertheless, ambiguity about some aspects related to MA may prevent a fathomed understanding of this systematically observed relationship. The current study set out to bring these aspects together in a comprehensive study. Our first focus of interest was the multi-component structure of MA, whereby we investigated the relationship between state- and trait-MA and math performance (MP) and whether this relation depends on the complexity of a math task. Second, the domain-specificity of MA was considered by examining the contribution of general anxiety (GA) and MA on MP and whether MA also influences the performance in non-math tasks. In this study, 181 secondary school students aged between 16 and 18 years old were randomly presented with four tasks (varying in topic [math/non-math] and complexity [easy/difficult]). The math task was a fraction comparison task and the non-math task was a color comparison task, in which specific indicators were manipulated to develop an easy and difficult version of the tasks. For the first research question, results showed a moderate correlation between state- and trait-MA, which is independent of the complexity of the math task. Regression analyses showed that while state-MA affects MP in the easy math task, it is trait-MA that affects MP in the difficult math task. For the second research question, a high correlation was observed between GA and MA, but regression analyses showed that GA is not related to MP and MA has no predictive value for performance in non-math tasks. Taken together, this study underscores the importance of distinguishing between state and trait-MA in further research and suggests that MA is domain-specific. Copyright © 2022 Demedts, Reynvoet, Sasanguie and Depaepe.","domain-specificity; math anxiety; math performance; state math anxiety; trait math anxiety","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85142660404"
"Sánchez-Pérez N.; Fuentes L.J.; González-Salinas C.","Sánchez-Pérez, Noelia (55881343400); Fuentes, Luis J. (7006580513); González-Salinas, Carmen (6507420589)","55881343400; 7006580513; 6507420589","The contribution of children’s effortful control to math performance is partially mediated by math anxiety","2024","European Journal of Psychology of Education","39","3","","2655","2679","6","10.1007/s10212-024-00801-0","https://www.scopus.com/pages/publications/85185309407?origin=resultslist","This study aimed to ascertain the contribution of children’s effortful control (EC) to math achievement by testing the mediational involvement of math anxiety. Participants were 704 children (367 girls) aged between 7 and 12 years (M = 9.43, SD = 1.23). Children’s EC was measured by parent’s report, math anxiety was assessed through self-report, whereas math achievement was evaluated by performance on standard math tests. The models tested involved EC higher-order factor or specific EC components (activation control, attentional focusing, and inhibitory control). The results showed that activation control, attentional focusing, and EC higher-order factor contributed to math performance directly and through the mediation of math anxiety. Inhibitory control did not yield a significant effect on math performance. The findings suggest that children with higher dispositional effortful self-regulation tend to experience lower levels of math anxiety, with positive effects on math performance. © The Author(s) 2024.","Childhood; Effortful control; Math anxiety; Mathematics; Temperament","","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85185309407"
